givennameLabel;qid
Cowper;Q50824545
Cox;Q29575983
Cramer;Q117289427
Crane;Q54887714
Crawford;Q20731003
Crichton;Q84358567
Crina;Q21147639
Cris;Q21147640
Cristi;Q110795604
Cristy;Q28812927
Crofton;Q50391822
Crombie;Q105771552
Cromwell;Q60484367
Crosby;Q62060091
Cruz;Q20639746
Cubitt;Q96278413
Cudworth;Q110770359
Cui;Q105623387
Cully;Q85522059
Cung;Q112789797
Cunningham;Q51530158
Cường;Q112143903
Curtiss;Q28436251
Curwen;Q115271572
Curzon;Q113128275
Cushing;Q28167720
Cushman;Q19839041
Cutts;Q103724415
Cvetan;Q123581052
Cydney;Q106481514
Cyndy;Q98621939
Cynric;Q106264185
Cyprianus;Q63077925
Cyr;Q98205442
Cyrill;Q18177157
D.;Q19803500
D.J.;Q87664613
Da;Q97640111
Đa Minh;Q112183387
Dabney;Q26856918
Dade;Q110800634
Dafne;Q10465842
Dai;Q16275261
Dài;Q124849187
Dakin;Q123678108
Dallin;Q96745514
Dalrymple;Q41805342
Dalzell;Q104719738
Dampier;Q108428566
Dan;Q105460561
Dan;Q97573280
Dǎn;Q125188716
Danai;Q20002112
Dang;Q110907763
Dang;Q96748278
Danieli;Q111170202
Danillo;Q115615985
Daosheng;Q105440487
Darby;Q56571106
Darcey;Q60727619
Darel;Q5222511
Darin;Q21286733
Darla;Q21020730
Darley;Q64678762
Darrick;Q5225266
Darrius;Q89254795
Darron;Q51946298
Daryll;Q124539634
Daryn;Q52553745
Dash;Q93902579
Dashiell;Q93902890
Dashnor;Q122207032
Dashwood;Q64861190
Daut;Q122207006
Davenport;Q27948980
Davion;Q105953853
Davon;Q111019246
Davood;Q116609023
Dawes;Q108327341
Dàyǒu;Q124414633
Dàzhōng;Q125390926
De;Q94627855
De;Q96483228
de Grey;Q90878167
de Vere;Q105940034
De Witt;Q66735831
DeAndre;Q62123942
Deane;Q15804875
Deanne;Q55739455
Déchāng;Q125165136
Dee Dee;Q19508086
Deguang;Q110907783
Déhuá;Q124758666
Déjī;Q125202282
Del;Q21042811
Delaney;Q27678377
Delano;Q50376968
Delaval;Q61995100
Delos;Q104434343
Delves;Q64500334
Demario;Q123058656
Demetres;Q123587639
Demond;Q85523585
Dempsey;Q63204650
Dempster;Q28037765
Denada;Q122206999
Dendy;Q117865786
Deng;Q104517126
Denice;Q61427395
Denman;Q105697020
Denne;Q91168220
Dennys;Q94572871
Deodatus;Q58870329
Deron;Q28927465
Derrell;Q5262951
Derry;Q25114188
Dervish;Q122216030
Deryck;Q63871988
Desire;Q86591670
Deva;Q19798110
Devis;Q43382343
DeWitt;Q51717640
Déxīn;Q124415595
Dey;Q106466775
Dez;Q105305326
Dézhì;Q124858925
Dhananjay;Q81761686
Dhori;Q122206006
Di;Q50874388
Diah;Q57246033
Diǎn;Q124822940
Diandra;Q16275519
Diann;Q105703660
Didar;Q81904156
Didi;Q19508115
Didrik;Q15883468
Dieuwke;Q21142546
Digges;Q95443480
Dillard;Q59204887
Dine;Q123587480
Ding;Q107645320
Dingguo;Q104475997
Dingxin;Q124357744
Dìngyī;Q124684086
Dionisios;Q123587476
Dionte;Q119373979
Dipak;Q25114356
Dirkje;Q21141824
Disney;Q88183390
Divya;Q16290281
Djalma;Q21285754
Doan;Q123587462
Dobrée;Q88439968
Dobrila;Q71286987
Dobrin;Q123587460
Dobrinka;Q123587458
Dodge;Q16275547
Dodwell;Q90988301
Domonic;Q83689496
Domonique;Q96464827
Domville;Q113128281
Donaldson;Q29370313
Donell;Q5295649
Dong;Q20083698
Dōng;Q96080445
Donta;Q82753212
Dorette;Q21147668
Dorman;Q110989572
Dovydas;Q15806508
Downes;Q64623702
D'Oyley;Q107284553
Doyne;Q91401129
Dre;Q75046406
Drogo;Q103703891
Dru;Q65092008
Drury;Q56856550
Duan;Q96604616
Duānběn;Q124967480
Đức;Q76885428
Duda;Q21285829
Dudi;Q123593010
Dui;Q110834712
Dundas;Q47471953
Dunham;Q105448925
Dunlop;Q88617064
Duó;Q124414878
Dương;Q112578793
Durell;Q111048086
Dushan;Q123592672
Dusty;Q17018121
Duval;Q105128880
Duy;Q54943163
Dwane;Q27615222
Dyce;Q111038651
Dyer;Q115211307
Dyke;Q47298004
Dymphna;Q21146590
Dyson;Q52695774
E.;Q19803501
Ebtesam;Q123592645
Ebtisam;Q123592644
Edan;Q104324045
Edd;Q64736344
Eddine;Q63725283
Ede;Q19851029
Eden;Q1235086
Edgard;Q19832221
Edhem;Q123592641
Edmir;Q123592636
Edmundus;Q21147684
Eelis;Q61957832
Egbertus;Q21141993
Eilidh;Q63344306
Ekaterini;Q123759099
Elam;Q111072496
Elan;Q73644103
