givennameLabel;qid
Subodh;Q50843052
Suí;Q124619818
Sullivan;Q97422356
Sultana;Q21148530
Sumit;Q60785514
Surya;Q20000926
Suso;Q43400282
Sutton;Q100253455
Suyash;Q122376135
Suying;Q108871959
Suzete;Q123409738
Swaine;Q90394065
Swan;Q47483115
Swati;Q63711251
Sybren;Q63077926
Sydenham;Q66722643
Syl;Q25114598
Symonds;Q66724928
Syrja;Q122215431
Taek-su;Q69507415
Taft;Q111048168
Tai;Q106967904
Tai;Q96195237
Tài;Q113299846
Taimi;Q11896002
Taiwo;Q55384132
Talha;Q2390237
Tam;Q21396323
Tâm;Q112597427
Tamanna;Q112187541
Tamati;Q85231180
Tamiko;Q3980620
Tamme;Q98140910
Tamsen;Q114101214
Tan;Q18608336
Taniela;Q16884263
Tanush;Q122207320
Tao;Q20155713
Tarek;Q105624131
Tarquinio;Q3981171
Tashko;Q122215662
Tasneem;Q7687580
Tate;Q48774321
Tatham;Q91391490
Taurean;Q88939430
Taylah;Q52071793
Taynara;Q81902459
Teagan;Q28736251
Tefik;Q122206014
Tefta;Q122216053
Teja;Q12005362
Telfer;Q114341592
Telly;Q29171440
Tempest;Q62075682
Temple;Q18608513
Templeton;Q64584578
Tennant;Q41287791
Tennessee;Q106529275
Tennyson;Q46706310
Tenzin;Q19968658
Tesfaye;Q104836750
Thadeu;Q124395926
Thái;Q100363231
Thanas;Q42417275
Thankful;Q86591659
Thảo;Q34022531
Thatiana;Q123409866
Theunis;Q21142286
Thịnh;Q112843605
Thomaz;Q21020601
Thomazine;Q119147907
Thompson;Q21020754
Thomy;Q114598855
Thorn;Q113128358
Thorne;Q97992067
Thorpe;Q119728861
Thu;Q112569570
Thurlow;Q75981542
Thurstan;Q111108604
Thúy;Q112119370
Thùy;Q112580588
Thủy;Q112652895
Tiaan;Q105797293
Tian;Q16282090
Tian;Q96465720
Tiān;Q124799362
Tiānbǎo;Q124823627
Tianci;Q107011323
Tianxi;Q105627063
Tidiane;Q21132646
Tierney;Q26903162
Tijmen;Q20894896
Tila;Q112684009
Tilden;Q64138965
Tilghman;Q38877143
Timotej;Q15887617
Tinashe;Q18212540
Tindal;Q89462840
Tineke;Q21056411
Ting;Q104326227
Ting;Q104738919
Ting;Q110872941
Tíngguāng;Q96094788
Tínghàn;Q125154216
Tíngxìn;Q124845437
Titilayo;Q110920527
Titu;Q42945762
Tobe;Q107549252
Tobi;Q19968409
Tola;Q7814082
Tomoo;Q85847832
Tong;Q96195488
Tóng;Q124635107
Toni;Q1929038
Tonin;Q122206015
Tope;Q110796572
Torey;Q15851235
Torry;Q108278608
Tosin;Q30669996
Tower;Q111072523
Towers;Q88976018
Townley;Q107636837
Townsend;Q29571515
Townshend;Q99439393
Traill;Q64821785
Trang;Q52558017
Trant;Q104710287
Travers;Q51361016
Treat;Q85263177
Trefusis;Q113128288
Tremaine;Q57677920
Trenchard;Q63442094
Trevelyan;Q96098133
Trevon;Q48980442
Trey;Q19720184
Trí;Q112116302
Trinh;Q112206263
Trinity;Q105396010
Tristam;Q110729501
Tristen;Q54805729
Tristin;Q55721827
Trueman;Q113128196
Trupti;Q120684685
Trym;Q12007773
Tuala;Q115486324
Tuìzhī;Q124421681
Tùng;Q112578808
Tunis;Q47457038
Tường;Q112613701
Turki;Q16282220
Turner;Q16282224
Tushar;Q40195844
Tuyết;Q116922884
Tyndall;Q110770064
Tyrese;Q16282234
Tzipora;Q63457237
U;Q17152333
U.;Q19803521
Uche;Q64280568
Uchenna;Q97751592
Uk;Q20080345
Umida;Q63860365
Underwood;Q110527954
Uno;Q6304362
Urbanus;Q2705782
Urquhart;Q28946746
Usama;Q54855022
Usha;Q76153956
Vaibhav;Q7908686
Vail;Q124694108
Valdete;Q122215561
Valdimar;Q16429590
Valeer;Q47468705
Valentijn;Q21143651
Vallance;Q116042225
Valmir;Q15852407
Văn;Q104596484
Vandeleur;Q96116427
Vanderbilt;Q88271028
Vartan;Q96109411
Vasfi;Q25932151
Vashti;Q21020430
Vasileios;Q122215991
Velia;Q4009354
Vere;Q19870754
Verity;Q54766409
Vern;Q15852699
Verne;Q96356005
Véronique;Q17496626
Vesey;Q109910539
Victorina;Q21147345
Việt;Q2033083
Vin;Q55670402
Vineet;Q86449418
Vinh;Q112570197
Vinit;Q59560405
Vinnie;Q56641726
Virendra;Q42318257
Vitore;Q122216000
Vusi;Q130239837
W.;Q19803523
Waddell;Q95000364
Wadsworth;Q42302956
Wake;Q110699445
Walcott;Q111242738
Waldegrave;Q91971396
Walford;Q107636908
Waller;Q40599913
Wallis;Q16282581
Walo;Q10719215
Walpole;Q99485719
Walters;Q59485181
Waltherus;Q21142437
Walton;Q29370047
Wán;Q125343954
Wǎn;Q125132775
Wǎn;Q125145757
Wanda;Q786005
Wang;Q105652164
Wang;Q105660548
Wang;Q105660725
Wang;Q108475198
Waseem;Q61983197
Watkins;Q28125699
Watts;Q50149859
Way;Q111081464
Wayde;Q7975880
Wayland;Q90723873
Wayman;Q75169981
Webber;Q46591649
Wei;Q94579711
Wei;Q96248175
Wei;Q96374436
Wèi;Q124283291
Wèi;Q125251982
Wēi;Q94579773
Wéihàn;Q124372938
Weiqiang;Q124391440
Weir;Q42298263
Welbore;Q19873492
Wellesley;Q41965834
Wells;Q38110754
Wellwood;Q88950836
Wemyss;Q88962916
Wen;Q106967901
Wèn;Q124262331
Wèn;Q124282442
Wenbin;Q110608257
Wenbin;Q110608346
Wenbin;Q110609488
Wéncàn;Q124480414
Wéndá;Q97650656
Wénhàn;Q96119259
Wénlín;Q125029748
Wenlong;Q110633768
Wénqìng;Q125252966
Wénqīng;Q124468110
Wénruì;Q125264114
Wensley;Q117349389
Wenxiong;Q110625554
Wényīng;Q124383371
Wenyu;Q125018957
Wényù;Q124528078
Wényuān;Q124845951
Wenzel;Q19597963
Wénzhāo;Q124612931
Wenzheng;Q124285091
Wénzhèng;Q124542344
Westby;Q89391041
Westcott;Q94171306
Western;Q46600071
Weymouth;Q115691214
Wheler;Q113920981
White;Q42310565
Whitefield;Q113128353
Whitehouse;Q110746157
Whitfield;Q104034893
Whittier;Q131470364
Whitworth;Q111048153
Wicher;Q21143404
Wieger;Q21143031
Wieke;Q18615503
Wietse;Q21148655
Wightman;Q88436616
Wilberforce;Q40158648
Wilburn;Q89753390
Wildman;Q64198486
Wiley;Q91150162
Wilho;Q61957834
Wilkins;Q111041017
Wilkinson;Q97690211
Wilks;Q104597689
Willemijn;Q2576805
Willet;Q122962049
Williamson;Q47469344
Willing;Q106312090
Willington;Q95388855
Winsome;Q47524116
Winson;Q111050082
Winter;Q89413343
Winthrop;Q21057291
Wise;Q114772068
Wissem;Q3569472
Wolfe;Q63649702
Wolmar;Q61957919
Wolsey;Q108252349
Won;Q20080348
Won-gi;Q68801120
Wood;Q29879799
Woodhouse;Q107298663
Woodley;Q96180167
Woodman;Q113128264
Woodson;Q97119319
Woodward;Q110772353
Woolmore;Q122861619
Worth;Q104435062
Wright;Q30015571
Wroughton;Q113128197
Wu;Q96620501
Wu;Q97653045
Wú;Q124635100
Wulff;Q85910096
Wynford;Q71146015
Wynn;Q63111146
Wynne;Q18324412
X.;Q19803524
Xenophon;Q105064650
Xhemail;Q122216067
Xhemal;Q122215399
Xhemil;Q122206037
Xheni;Q126944732
Xhevat;Q116858736
Xi;Q105627075
Xi;Q106967908
Xi;Q96096913
Xi;Q96928798
Xǐ;Q125153243
Xī;Q108502661
Xī;Q125370745
Xia;Q124466604
Xian;Q106855787
Xian;Q107581265
Xian;Q96251237
Xián;Q125165877
Xiàn;Q131275211
Xiang;Q94084790
Xiang;Q96577190
Xiāng;Q125216736
Xiànwén;Q125356560
Xiànzhī;Q125029292
Xianzhong;Q107581081
Xiao;Q105440237
Xiao;Q19810513
Xiao;Q96978968
Xiaobo;Q105440094
Xiaohui;Q23655557
Xiè;Q125246093
Xin;Q106855788
Xin;Q2867936
Xin;Q94516267
Xīn;Q125352503
Xīn;Q66363498
Xing;Q106832390
Xing;Q106913548
Xing;Q96324139
Xiong;Q108598090
Xīshèng;Q124434041
Xiù;Q124625587
Xiù;Q124625622
Xiulan;Q110707500
Xiuying;Q104373216
Xiuzhen;Q110707748
Xu;Q125188208
Xù;Q106858177
Xū;Q125186964
Xuan;Q104475579
Xuan;Q106992788
Xuan;Q21936848
Xuân;Q97164794
Xuǎn;Q125188913
Xuān;Q124706671
Xue;Q96473295
Xuélǐ;Q124883082
Xùn;Q106844965
Xùn;Q107097033
Y.;Q19803525
Yachiyo;Q106084381
Yahia;Q20998306
Yakir;Q105036828
Yale;Q28344117
Yali;Q39140100
Yan;Q108505331
Yan;Q108506102
Yan;Q108849121
Yan;Q109409188
Yán;Q124807169
Yán;Q124807295
Yǎn;Q124388777
Yǎn;Q125132946
Yang;Q110906552
Yang;Q19810523
Yang;Q96623649
Yáng;Q125154469
Yangchen;Q106851003
Yang-ho;Q69507178
Yannian;Q69507256
Yash;Q54943927
Yasunaga;Q105320767
Yates;Q64355416
Yazid;Q29561457
Ye;Q125145143
Ye;Q20085843
Yè;Q125145080
Yè;Q125147500
Yehia;Q8051242
Yelverton;Q42309315
Yeon;Q17152342
Yeong;Q16256914
Yeong-bae;Q69507314
Yeong-bok;Q69507303
Yeong-gu;Q69507371
Yeong-seop;Q68800754
Yí;Q106844972
Yí;Q107645484
Yí;Q125084611
Yí;Q96140293
Yì;Q105453983
Yì;Q110878234
Yì;Q96140292
Yì;Q96177573
Yì;Q97063430
Yǐ;Q96141438
Yī;Q124856430
Yijun;Q67172554
Yīlín;Q125262370
Yiming;Q81162962
Yin;Q106918717
Ying;Q105447400
Ying;Q97573282
Yíng;Q124695140
Yīng;Q94957785
Yīngjùn;Q124843607
Yìngwén;Q124274869
Yìngxiáng;Q125265694
Yisrael;Q51131086
Ymer;Q122205996
Yoeri;Q101427620
Yong;Q105643363
Yong;Q19969239
Yǒng;Q125256104
Yongchang;Q70363782
Yong-chul;Q69507182
Yong-deok;Q69507626
Yong-man;Q69507653
Yong-seok;Q68790550
Yong-sik;Q69507153
Yong-su;Q68489535
Yong-u;Q68798092
York;Q42228162
You;Q105444501
You;Q110818068
You;Q96247313
You;Q96465814
You;Q97600546
Yǒuliàng;Q124982095
Young-man;Q69507524
Young-sam;Q69507292
Yǒupéng;Q124517843
Yǒuqìng;Q124758546
Yu;Q105427334
Yu;Q106766424
Yu;Q107979066
Yu;Q110857334
Yu;Q125130866
Yu;Q20085847
Yu;Q96107385
Yu;Q96107479
Yu;Q96483224
Yu;Q98398734
Yú;Q124540674
Yú;Q125274663
Yuan;Q105426885
Yuan;Q96460299
Yuan;Q97638464
Yuanchang;Q105627982
Yuanfang;Q105627981
Yuanjing;Q105627983
Yuanli;Q105638652
Yuánruì;Q124433654
Yuányīng;Q124880847
Yuanyu;Q105639481
Yuanyuan;Q81906967
Yücel;Q58210947
Yuchen;Q81908046
Yue;Q106967914
Yue;Q96748276
Yùhéng;Q125148910
Yulan;Q110707756
Yùlín;Q124935675
Yume;Q58785527
Yun;Q106766543
Yun;Q106842804
Yun;Q110866487
Yun;Q20080347
Yun;Q94551012
Yùnchāng;Q124883597
Yunfei;Q8061244
Yǔqīng;Q125069939
Yveline;Q63350762
Yves;Q1920728
Z.;Q19803526
Zahid;Q100275580
Zài;Q106868715
Zain/Zayn;Q3574623
Zaki;Q21501983
Zamira;Q122206051
Zan;Q110872985
Ze;Q105627078
Ze;Q96098353
Zé;Q124651049
Zé;Q125217513
Zeb;Q54426000
Zebina;Q104434158
Zeca;Q21285934
Zémín;Q95577476
Zeng;Q108470944
Zenun;Q122207364
Zeqir;Q116693031
Zerline;Q63681222
Zev;Q16282894
Zevi;Q26868862
Zhān;Q106855795
Zhang;Q110920304
Zhang;Q19997437
Zhao;Q96748282
Zhao;Q97500755
Zhào;Q124314733
Zhāo;Q125255539
Zhe;Q97479098
Zhen;Q105627067
Zhen;Q107007967
Zhen;Q107394877
Zhen;Q97576715
Zhèndōng;Q124353400
Zheng;Q96757010
Zhēng;Q110660254
Zhēng;Q110830362
Zhēng;Q125103539
Zhèngfū;Q124956526
Zhengxiong;Q110633760
Zhèngzhōng;Q124427683
Zhenyu;Q81901285
Zhi;Q108613543
Zhi;Q110608560
Zhi;Q110652923
Zhi;Q110877746
Zhi;Q94440605
Zhi;Q94500969
Zhì;Q125312755
Zhī;Q124757806
Zhicheng;Q110633594
Zhide;Q123797537
Zhihao;Q110625542
Zhihong;Q110633759
Zhīlǐ;Q124966838
Zhiqiang;Q75967112
Zhiwei;Q106758687
Zhixiang;Q94086281
Zhixiong;Q110652665
Zhiyong;Q19857264
Zhìyǒng;Q124811192
Zhiyuan;Q81902257
Zhìzhōng;Q125152772
Zhong;Q94607987
Zhòngjié;Q124842560
Zhòngjìng;Q125313678
Zhòngmóu;Q124433822
Zhongshan;Q95048030
Zhōngzhèng;Q124427527
Zhou;Q96384126
Zhou;Q96465847
Zhou;Q96623645
Zhu;Q96096110
Zhù;Q124692939
Zhū;Q124814778
Zhuang;Q96465836
Zhuàng;Q96374485
Zhun;Q105683557
Zhuo;Q124322012
Zhuó;Q125216294
Zī;Q125241389
Zihao;Q123482236
Zǐjìng;Q125016942
Zǐlì;Q124842849
Zǐlǐ;Q124967595
Zilong;Q96240609
Zǐmíng;Q125119843
Zǐqīn;Q125121020
Zǐshùn;Q124843014
Ziv;Q100275464
Ziyad;Q84177389
Ziyu;Q110859793
Ziyuan;Q105728371
Zong;Q96251267
Zonghan;Q110633761
Zonghan;Q97101827
Zongsheng;Q105426743
Zongsheng;Q105426847
Zōngwén;Q125256581
Zōngyí;Q125087550
Zōngyì;Q125087194
Zōngyī;Q125102799
Zoubir;Q115144943
Zu;Q106844731
Zun;Q106843484
Zuo;Q105623581
Zvika;Q8075560
Zyhdi;Q122205994
