namekey;imageurl;person;personLabel;personDescription;wikipediaENurl
http://www.wikidata.org/entity/Q21406258;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jarrett_Patterson_%282021%29.jpg?width=1024;http://www.wikidata.org/entity/Q115756319;Jarrett Patterson;American football player (born 1999);https://en.wikipedia.org/wiki/Jarrett_Patterson
http://www.wikidata.org/entity/Q123678108;https://commons.wikimedia.org/wiki/Special:Redirect/file/Dakin_Matthews_in_Bean.png?width=1024;http://www.wikidata.org/entity/Q1157743;Dakin Matthews;American actor;https://en.wikipedia.org/wiki/Dakin_Matthews
http://www.wikidata.org/entity/Q15635195;https://commons.wikimedia.org/wiki/Special:Redirect/file/Aur%C3%A9lien_Clerc.jpg?width=1024;http://www.wikidata.org/entity/Q115797;Aurélien Clerc;road bicycle racer;https://en.wikipedia.org/wiki/Aur%C3%A9lien_Clerc
http://www.wikidata.org/entity/Q19768383;https://commons.wikimedia.org/wiki/Special:Redirect/file/Sharron_Davies.png?width=1024;http://www.wikidata.org/entity/Q1158904;Sharron Davies;British swimmer;https://en.wikipedia.org/wiki/Sharron_Davies
http://www.wikidata.org/entity/Q112660112;https://commons.wikimedia.org/wiki/Special:Redirect/file/%C4%90%E1%BA%B7ng_Th%C3%A1i_S%C6%A1n_H%C3%A0_N%E1%BB%99i_2021.jpg?width=1024;http://www.wikidata.org/entity/Q1159527;Dang Thai Son;Vietnamese classical pianist;https://en.wikipedia.org/wiki/%C4%90%E1%BA%B7ng_Th%C3%A1i_S%C6%A1n
http://www.wikidata.org/entity/Q108470944;https://commons.wikimedia.org/wiki/Special:Redirect/file/%E7%AB%A5%E5%A2%9E.jpg?width=1024;http://www.wikidata.org/entity/Q11598448;Tong Zeng;Chinese activist;https://en.wikipedia.org/wiki/Tong_Zeng
http://www.wikidata.org/entity/Q84177389;https://commons.wikimedia.org/wiki/Special:Redirect/file/150803_ZiyhadAlsufyani_WikimediaFoundationPortraitsChicago_2J8A9753.jpg?width=1024;http://www.wikidata.org/entity/Q116039721;Ziyad Alsufyani;Jailed Saudi Pediatrician and wikimedian;https://en.wikipedia.org/wiki/Ziyad_al-Sofiani
http://www.wikidata.org/entity/Q47582210;https://commons.wikimedia.org/wiki/Special:Redirect/file/Mandla_Nkomfe_2012.jpg?width=1024;http://www.wikidata.org/entity/Q116046052;Mandla Nkomfe;South African politician;https://en.wikipedia.org/wiki/Mandla_Nkomfe
http://www.wikidata.org/entity/Q1483687;https://commons.wikimedia.org/wiki/Special:Redirect/file/Marthe_Keller_Cannes_2016.jpg?width=1024;http://www.wikidata.org/entity/Q116265;Marthe Keller;Swiss actress;https://en.wikipedia.org/wiki/Marthe_Keller
http://www.wikidata.org/entity/Q16256914;https://commons.wikimedia.org/wiki/Special:Redirect/file/Celine_Song%2C_Berlinale_2023.jpg?width=1024;http://www.wikidata.org/entity/Q116286260;Celine Song;South Korean-Canadian director and writer;https://en.wikipedia.org/wiki/Celine_Song
http://www.wikidata.org/entity/Q55073126;https://commons.wikimedia.org/wiki/Special:Redirect/file/Suzuki_Ryohei_from_%22One_Night%22_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2019_%2849013344498%29.jpg?width=1024;http://www.wikidata.org/entity/Q11648535;Ryohei Suzuki;Japanese actor;https://en.wikipedia.org/wiki/Ryohei_Suzuki
http://www.wikidata.org/entity/Q124434041;https://commons.wikimedia.org/wiki/Special:Redirect/file/%E5%8F%A4%E8%81%96%E8%B3%A2%E5%83%8F%E5%82%B3%E7%95%A5-%E9%8C%A2%E6%83%9F%E6%BC%94.jpg?width=1024;http://www.wikidata.org/entity/Q11650276;Qian Weiyan;Chinese politician and poet (977–1034);https://en.wikipedia.org/wiki/Qian_Weiyan
http://www.wikidata.org/entity/Q55073126;https://commons.wikimedia.org/wiki/Special:Redirect/file/Ryohei_Abe_Snow_Man.jpg?width=1024;http://www.wikidata.org/entity/Q11657733;Ryōhei Abe;Japanese singer, child actor and television meteorologist;https://en.wikipedia.org/wiki/Abe_Ryohei
http://www.wikidata.org/entity/Q15729610;https://commons.wikimedia.org/wiki/Special:Redirect/file/Gael_Danic.png?width=1024;http://www.wikidata.org/entity/Q116586;Gaël Danic;French footballer;https://en.wikipedia.org/wiki/Ga%C3%ABl_Danic
http://www.wikidata.org/entity/Q21286733;https://commons.wikimedia.org/wiki/Special:Redirect/file/Actor_Darin_Brooks_at_Daytime_Emmys_Arrivals.jpg?width=1024;http://www.wikidata.org/entity/Q1165899;Darin Brooks;American actor;https://en.wikipedia.org/wiki/Darin_Brooks
http://www.wikidata.org/entity/Q3959296;https://commons.wikimedia.org/wiki/Special:Redirect/file/Justin_Jones_at_Pride.jpg?width=1024;http://www.wikidata.org/entity/Q116692901;Justin Jones;American activist and politician;https://en.wikipedia.org/wiki/Justin_Jones_(Tennessee_politician)
